codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
FDF-370090,Collipulli,-38.00111111,-72.24555556,334,Collipulli,La Araucanía,2011-01-01 0:00
FDF-340050,Coltauco,-34.23777778,-71.005,479,Coltauco,O'Higgins,2011-01-01 0:00
FDF-310005,Combarbalá,-31.18833333,-70.99888889,933,Combarbalá,Coquimbo,2011-01-01 0:00
FDF-270026,Copayapu,-27.456639,-70.264139,502,Tierra Amarilla,Atacama,2022-04-19 0:00
FDF-270005,Copiapo,-27.34583333,-70.40777778,346,Copiapó,Atacama,2011-01-01 0:00
FDF-450035,Coyhaique,-45.73972222,-72.12583333,5,Coyhaique,Aisén,2011-01-01 0:00
FDF-380090,Cunco,-39.00666667,-72.25138889,230,Cunco,La Araucanía,2011-01-01 0:00
FDF-330090,Curacaví,-33.43861111,-71.02555556,195,Curacaví,Metropolitana,2011-01-01 0:00
FDF-340155,Curicó,-34.940973,-71.222752,225,Curicó,Maule,2020-05-05 0:00
FDF-320050,Curimón,-32.799972,-70.700306,700,San Felipe,Valparaíso,2011-01-01 0:00
FDF-340070,El Carmen,-34.60805556,-70.975,363,San Fernando,O'Higgins,2011-01-01 0:00
FDF-320021,El Guindo,-32.35716683,-71.345472,13,La Ligua,Valparaíso,2017-06-01 0:00
FDF-330130,El Monte,-33.69194444,-71.10083333,215,El Monte,Metropolitana,2011-01-01 0:00
FDF-300002,El Palqui,-30.74638889,-70.93694444,460,Monte Patria,Coquimbo,2011-01-01 0:00
FDF-280046,El Parral,-28.981546,-70.195909,1375,Alto del Carmen,Atacama,2022-04-21 0:00
FDF-290022,El Trapiche,-29.3718611,-71.11608333,486,La Higuera,Coquimbo,2017-08-23 0:00
FDF-380080,Freire,-38.97138889,-72.78416667,77,Freire,La Araucanía,2011-01-01 0:00
FDF-280023,Freirina,-28.5066389,-71.10372222,206,Freirina,Atacama,2017-08-01 0:00
FDF-380021,Galvarino ,-38.35916667,-72.70972222,232,Traiguén,La Araucanía,2011-01-01 0:00
FDF-390010,Gorbea,-39.10305556,-72.61527778,152,Gorbea,La Araucanía,2011-01-01 0:00
FDF-340014,Graneros Norte,-34.06194444,-70.705,492,Graneros,O'Higgins,2011-01-01 0:00
FDF-320115,Hijuelas,-32.84794444,-71.06708333,327,Hijuelas,Valparaíso,2011-01-01 0:00
FDF-270031,Hornitos,-27.72888889,-70.19666667,771,Tierra Amarilla,Atacama,2011-01-01 0:00
FDF-330030,HUECHÚN EX Lampa,-33.07722222,-70.75277778,610,Tiltil,Metropolitana,2011-01-01 0:00
FDF-3539,HUELQUEN,-33.86208333,-70.63919444,417,Paine,Metropolitana,2011-01-01 0:00
FDF-280056,Iglesia Colorada,-28.1489444,-69.89183333,1687,Tierra Amarilla,Atacama,2017-08-25 0:00
FDF-310015,Illapel,-31.73105556,-71.20555556,274,Illapel,Coquimbo,2011-01-01 0:00
FDF-280070,Imperial Alto,-28.613677,-70.709382,251,Vallenar,Atacama,2022-04-20 0:00
FDF-330120,Isla de Maipo,-33.76388889,-70.88666667,338,Isla de Maipo,Metropolitana,2011-01-01 0:00
FDF-270020,Jotabeche,-27.58861111,-70.24472222,600,Tierra Amarilla,Atacama,2011-01-01 0:00
FDF-320105,La Cruz,-32.8,-71.2,153,La Cruz,Valparaíso,2011-01-01 0:00
FDF-340120,La Estrella Norte,-34.21333333,-71.71611111,295,La Estrella,O'Higgins,2011-01-01 0:00
FDF-340110,La Estrella Sur Ex Pumanque,-34.21333333,-71.71611111,157,La Estrella,O'Higgins,2011-01-01 0:00
FDF-320071,La Higuera,-32.49269683,-71.15288083,135,La Ligua,Valparaíso,2011-01-01 0:00
FDF-400030,La Union,-40.31666667,-73.02416667,26,La Unión,Los Ríos,2011-01-01 0:00
